올레길 코스 번호,올레길 코스 이름,휠체어 구간 유무,시작점,시작점 위도,시작점 경도,종점,종점 위도,종점 경도,총 길이(KM),예상 소요 시간
1코스,시흥-광치기 올레,TRUE,시흥초등학교,33.47971514,126.8956494,광치기해변,33.45239254,126.9247041,15.1,4~5
1-1코스,우도 올레,FALSE,천진항,33.49277541,126.951697,천진항,33.49277541,126.951697,11.3,4~5
2코스,광치기-온평 올레,FALSE,광치기해변,33.45239254,126.9247041,온평포구,33.40490634,126.9043758,15.2,4~5
3코스,온평-표선 올레,FALSE,온평포구,33.40490634,126.9043758,표선해수욕장,33.3276295,126.8375243,20.9,6~7
4코스,표선-남원 올레,TRUE,표선해수욕장,33.3276295,126.8375243,남원포구,33.27817157,126.7198321,19,5~6
5코스,남원-쇠소깍 올레,TRUE,남원포구,33.27817157,126.7198321,쇠소깍 다리,33.25308839,126.6226777,13.4,4~5
6코스,쇠소깍- 제주올레여행자센터 올레,TRUE,쇠소깍 다리,33.25308839,126.6226777,제주올레 여행자센터,33.24761962,126.5587,11,3~4
7코스,제주올레 여행자센터-월평 올레,FALSE,제주올레 여행자센터,33.24761962,126.5587,월평 아왜낭목 쉼터,33.24386017,126.4587187,17.6,5~6
7-1코스,서귀포 버스터미널 - 제주올레 여행자센터 올레,FALSE,서귀포 버스터미널,33.24872014,126.5080211,제주올레 여행자센터,33.24761962,126.5587,15.7,4~5
8코스,월평-대평 올레,TRUE,월평 아왜낭목 쉼터,33.24386017,126.4587187,대평포구,33.23748393,126.3618071,19.6,5~6
9코스,대평-화순 올레,FALSE,대평포구,33.23748393,126.3618071,화순금모래해수욕장,33.23983864,126.3339838,6.7,3~4
10코스,화순-모슬포 올레,TRUE,화순금모래해수욕장,33.23983864,126.3339838,하모체육공원,33.21855372,126.2525573,15.6,5~6
10-1코스,가파도 올레,TRUE,상동포구,33.17460557,126.2708244,가파치안센터,33.16658115,126.273587,4.2,1~2
11코스,모슬포-무릉 올레,FALSE,하모체육공원,33.21855372,126.2525573,무릉외갓집,33.27490096,126.2368072,17.3,5~6
12코스,무릉-용수 올레,TRUE,무릉외갓집,33.27490096,126.2368072,용수포구,33.32575803,126.1676322,17.5,5~6
13코스,용수-저지 올레,FALSE,용수포구,33.32575803,126.1676322,저지예술정보화마을,33.33279438,126.2564006,15.9,4~5
14코스,저지-한림 올레,TRUE,저지예술정보화마을,33.33279438,126.2564006,한림항,33.41922552,126.26259,19.1,6~7
14-1코스,저지-서광 올레,FALSE,저지예술정보화마을,33.33279438,126.2564006,오설록 녹차밭,33.30646495,126.2883505,9.3,3~4
15코스,한림-고내 올레,FALSE,한림항,33.41922552,126.26259,고내포구,33.46703433,126.3380911,16.5,5~6
16코스,고내-광령 올레,FALSE,고내포구,33.46703433,126.3380911,광령1리 사무소,33.46102834,126.4398571,15.8,5~6
17코스,광령-제주 원도심 올레,TRUE,광령1리 사무소,33.46102834,126.4398571,간세라운지x관덕정분식,33.51334342,126.5273529,18.1,6~7
18코스,제주 원도심-조천 올레,FALSE,간세라운지x관덕정분식,33.51334342,126.5273529,조천만세동산,33.54061084,126.6400613,19.7,6~7
18-1코스,추자도 올레,FALSE,상추자항,33.96254445,126.295673,상추자항,33.96254445,126.295673,18.2,6~8
19코스,조천-김녕 올레,FALSE,조천만세동산,33.54061084,126.6400613,김녕서포구,33.55765885,126.7445743,19.4,6~7
20코스,김녕-하도 올레,FALSE,김녕서포구,33.55765885,126.7445743,제주해녀박물관,33.52375636,126.8631478,17.6,5~6
21코스,하도-종당 올레,FALSE,제주해녀박물관,33.52375636,126.8631478,종달바당,33.48854124,126.9056548,11.3,3~4
